averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
8,4	10363	tt1988386	tvSeries	Miss Fisher's Murder Mysteries	Miss Fisher's Murder Mysteries	0	2012	\N	60	Crime,Drama,Mystery
7,2	11	tt1990026	tvSeries	Space Hospital	Space Hospital	0	2007	\N	\N	Sci-Fi
7,9	106	tt1990040	tvSeries	Terapie	Terapie	0	2011	\N	\N	Drama
7,9	18	tt1990064	tvSeries	The Cynical Life of Harper Hall	The Cynical Life of Harper Hall	0	2011	\N	22	Comedy
8,1	39	tt1990589	tvSeries	I Am Tim	I Am Tim	0	2010	\N	\N	Comedy
8,0	37	tt1990686	tvSeries	Mrs. Carrington	Mrs. Carrington	0	2009	\N	5	Comedy
7,2	31	tt1991092	tvSeries	Laps	Laps	0	2011	2014	\N	Comedy,Drama,Romance
8,0	9	tt1991663	tvSeries	Portal do Tempo	Portal do Tempo	0	2013	\N	\N	Adventure,Family
8,0	1380	tt1992386	tvSeries	Black Lagoon: Roberta's Blood Trail	Black Lagoon: Roberta's Blood Trail	0	2010	2011	34	Action,Animation,Drama
8,5	1294	tt1992744	tvSeries	Hajime no Ippo: New Challenger	Hajime no Ippo: New Challenger	0	2009	\N	20	Action,Animation,Comedy
7,9	20	tt1994319	tvSeries	Spade	Spade	0	2010	\N	21	Adventure
7,8	168	tt1994439	tvSeries	Warehouse 13: Of Monsters and Men	Warehouse 13: Of Monsters and Men	0	2011	\N	\N	Sci-Fi
8,2	403	tt1994702	tvSeries	The Man of Your Dreams	El hombre de tu vida	0	2011	\N	45	Comedy,Romance
7,4	80	tt1994790	tvSeries	I Married a Mobster	I Married a Mobster	0	2011	\N	\N	Crime
8,0	136	tt1995142	tvSeries	The Mercury Men	The Mercury Men	0	2011	\N	7	Sci-Fi
8,2	125	tt1995532	tvSeries	Agents of Cracked	Agents of Cracked	0	2009	2011	\N	Comedy
7,1	96	tt1995552	tvSeries	At Home with Julia	At Home with Julia	0	2011	2011	\N	Comedy
8,4	8	tt1995896	tvSeries	Robinzon	Robinzon	0	2011	\N	\N	Action,Drama
8,2	8	tt1996104	tvSeries	Tsukahara bokuden	Tsukahara bokuden	0	2011	\N	\N	Drama
7,3	7	tt1997739	tvSeries	Geek Therapy	Geek Therapy	0	2011	\N	\N	Comedy
8,7	108	tt1998766	tvSeries	Los Archivos del Cardenal	Los Archivos del Cardenal	0	2011	\N	\N	Drama
8,2	53	tt1998808	tvSeries	Para Pencari Tuhan	Para Pencari Tuhan	0	2007	\N	90	Comedy,Drama,Family
8,6	8	tt1999730	tvSeries	Shawn Michaels' MacMillan River Adventures	Shawn Michaels' MacMillan River Adventures	0	2011	\N	30	Adventure
7,4	19	tt2000032	tvSeries	Chop Chicks	Chop Chicks	0	2011	\N	15	Comedy
8,0	51	tt2000100	tvSeries	Horrible Histories with Stephen Fry	Horrible Histories with Stephen Fry	0	2011	\N	\N	Comedy
8,5	8	tt2000287	tvSeries	The Bear Whisperer	The Bear Whisperer	0	2011	\N	60	Adventure
7,6	19	tt2002188	tvSeries	Pobre Millonaria	Pobre Millonaria	0	2008	\N	\N	Romance
7,5	11	tt2003205	tvSeries	Deadliest Warrior: The Aftermath	Deadliest Warrior: The Aftermath	0	2009	\N	\N	Action
7,8	22	tt2003874	tvSeries	Runaway ~Aisuru Kimi no Tame ni~	Runaway ~Aisuru Kimi no Tame ni~	0	2011	\N	\N	Crime,Drama
8,4	9	tt2004105	tvSeries	Transitions: The Series	Transitions: The Series	0	2010	\N	\N	Sci-Fi
7,6	127	tt2004130	tvSeries	Viva Berlin!	Viva Berlin!	0	2011	\N	25	Horror
7,2	44	tt2004927	tvSeries	Sssshh... Phir Koi Hai (Tritiya)	Sssshh... Phir Koi Hai (Tritiya)	0	2010	\N	\N	Horror
7,7	15	tt2005490	tvSeries	Ben and Eric	Ben and Eric	0	2010	\N	3	Action,Adventure,Animation
8,0	23	tt2005880	tvSeries	Mandelbaum Balash Prati	Mandelbaum Balash Prati	0	2009	2010	\N	Comedy
7,4	1803	tt2006005	tvSeries	Trollied	Trollied	0	2011	\N	26	Comedy
8,1	17	tt2006034	tvSeries	Prime Minister's Children	Yaldey Rosh Ha-Memshala	0	2011	\N	35	Drama
7,6	58	tt2006344	tvSeries	Bandwagon: The Series	Bandwagon: The Series	0	2010	\N	7	Comedy
7,9	7	tt2006354	tvSeries	Capt'n Chuckleberry	Capt'n Chuckleberry	0	2011	\N	\N	Family
7,5	9749	tt2006374	tvSeries	Copper	Copper	0	2012	2013	42	Action,Drama
7,7	6	tt2006377	tvSeries	Dawiseguys	Dawiseguys	0	2011	\N	10	Crime
8,5	6375	tt2006421	tvSeries	Gran Hotel	Gran Hotel	0	2011	2013	60	Crime,Drama,Mystery
8,3	69	tt2006484	tvSeries	Kargin Haxordum	Kargin Haxordum	0	2003	\N	\N	Comedy
7,2	16	tt2006485	tvSeries	Kotetsushin Jeeg	Kotetsushin Jeeg	0	2007	\N	\N	Animation
7,8	10	tt2006574	tvSeries	Star Trek: Henglaar, M.D.	Star Trek: Henglaar, M.D.	0	2009	\N	\N	Sci-Fi
7,6	7374	tt2006848	tvSeries	Bunheads	Bunheads	0	2012	2013	44	Comedy,Drama
7,1	513	tt2008252	tvSeries	Mayo chiki!	Mayo chiki!	0	2011	\N	25	Animation,Comedy,Romance
8,0	34	tt2008281	tvSeries	Peleles	Peleles	0	2011	2012	60	Comedy,Drama,Romance
7,6	12	tt2008414	tvSeries	Uncut	Uncut	0	2011	\N	\N	Action,Thriller
