averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
8,4	10363	tt1988386	tvSeries	Miss Fisher's Murder Mysteries	Miss Fisher's Murder Mysteries	0	2012	\N	60	Crime,Drama,Mystery
8,4	73402	tt2017109	tvSeries	Banshee	Banshee	0	2013	2016	60	Action,Crime,Drama
8,7	19918	tt2049116	tvSeries	Gomorrah	Gomorra: La serie	0	2014	\N	55	Crime,Drama,Thriller
8,9	266170	tt2085059	tvSeries	Black Mirror	Black Mirror	0	2011	\N	60	Drama,Sci-Fi,Thriller
8,7	31502	tt2098220	tvSeries	Hunter x Hunter	Hunter x Hunter	0	2011	2014	24	Action,Adventure,Animation
8,4	68620	tt2149175	tvSeries	The Americans	The Americans	0	2013	2018	44	Crime,Drama,Mystery
8,4	10963	tt2155025	tvSeries	Please Like Me	Please Like Me	0	2013	2016	29	Comedy,Drama,Romance
8,3	10916	tt2177461	tvSeries	A Discovery of Witches	A Discovery of Witches	0	2018	\N	60	Drama,Fantasy,Romance
8,4	21295	tt2183404	tvSeries	Rectify	Rectify	0	2013	2016	60	Drama
8,1	17192	tt2183641	tvSeries	Ripper Street	Ripper Street	0	2012	\N	59	Crime,Drama,Mystery
8,2	82552	tt2188671	tvSeries	Bates Motel	Bates Motel	0	2013	2017	45	Drama,Horror,Mystery
8,3	90002	tt2234222	tvSeries	Orphan Black	Orphan Black	0	2013	2017	44	Action,Drama,Sci-Fi
8,5	195766	tt2243973	tvSeries	Hannibal	Hannibal	0	2013	2015	44	Crime,Drama,Horror
8,3	64064	tt2249007	tvSeries	Ray Donovan	Ray Donovan	0	2013	\N	60	Crime,Drama
8,4	68318	tt2249364	tvSeries	Broadchurch	Broadchurch	0	2013	2017	48	Crime,Drama,Mystery
8,2	89814	tt2261227	tvSeries	Altered Carbon	Altered Carbon	0	2018	\N	60	Action,Drama,Sci-Fi
8,2	60600	tt2294189	tvSeries	The Fall	The Fall	0	2013	\N	60	Crime,Drama,Thriller
8,6	14702	tt2303687	tvSeries	Line of Duty	Line of Duty	0	2012	\N	60	Crime,Drama,Mystery
8,6	311207	tt2306299	tvSeries	Vikings	Vikings	0	2013	\N	44	Action,Adventure,Drama
8,5	17958	tt2311418	tvSeries	Isler Güçler	Isler Güçler	0	2012	2013	86	Comedy
9,0	415709	tt2356777	tvSeries	True Detective	True Detective	0	2014	\N	55	Crime,Drama,Mystery
8,1	164607	tt2357547	tvSeries	Jessica Jones	Jessica Jones	0	2015	\N	56	Action,Crime,Drama
8,1	247059	tt2372162	tvSeries	Orange Is the New Black	Orange Is the New Black	0	2013	\N	59	Comedy,Crime,Drama
8,3	78582	tt2375692	tvSeries	Black Sails	Black Sails	0	2014	2017	56	Adventure,Drama
8,3	11533	tt2379308	tvSeries	Psycho-Pass	Psycho-Pass	0	2012	2014	25	Action,Animation,Crime
